id,text,humor_mechanism,humor_target
tweet19597,¿Por qué asumen que es «feto ingeniero» y no «feta ingeniera»? Maldito sistema heteropatriarcal falocéntrico opresor.,stereotype,stereotype
tweet19614,"“Todas las amigas de mi novio son putas, menos la gorda, ella es bien linda”.    -Todas las mujeres.",stereotype,stereotype
tweet19699,"Tipico en las fiestas entre Ellas: -Chica1: Voy a baño, ¿me acompañas? -Chica2: Si claro! ¿Me llevo la Cámara?",stereotype,ideological
tweet19759,"No es Puta, es apta para todo tipo de público.",insults,mysogeny
tweet19841,"- Rubita ¿viste El Señor de los Anillos?
- Sííí, pero no le compré nada...
#Chistes #Humor #Anecdotas #Rubias #To...",stereotype,stereotype
tweet19891,"-Amor tengo un problema -No mi amor, ""tenemos un problema"" -Ah bueno. Vamos a tener un hijo con la secretaria!",embarrassment,stereotype
tweet19911,"-¿Hola, tía? ¿Encontraste trabajo?
- Sí, de puta.
- Qué suerte, encima de lo tuyo.",wordplay,object
tweet19931,"La raptaron a mi mujer y la policía me dijo que me prepare para lo peor....así que debe estar por llegar!
#Chiste...",absurd,ideological
tweet19945,Mi tía fue a rotar las gomas y tuvo que tirar una,wordplay,stereotype
tweet19952,"“Es lindo, guapo, atento, detallista, caballeroso, me trata bien y me hace reír... ¡QUE SE VAYA A LA VERGA!”

—Todas las mujeres.",insults,mysogeny
tweet20065,RT @ferticidio: Era tan pero tan fea que en vez de menstruacion tenia mounstracion! :p,wordplay,stereotype
tweet20089,-Sos re puta. -¿Qué? -¿Te lo repito? -¿Un re pito? ¿Dónde? ¿Dónde? *Babea*,wordplay,mysogeny
tweet20269,Las mujeres son como los chinos: nadie las entiende y están dominando el mundo.,analogy,mysogeny
tweet20297,"—¿Estas en tus días? —No es eso, me molesta mucho ese puto ruidito. —Solo estoy respirando. —Y llevas todo el puto día",reference,ideological
tweet20301,"-¿Sabes querida? Cuando hablas me recuerdas al mar.
- Qué bonito! No sabía que te impresionara tanto...
- No me impresionas.¡me mareas!. #RT",embarrassment,stereotype
tweet20346,"Lo único que quieren las mujeres es todo y nada, en diferentes momentos pero al mismo tiempo, a veces y nunca, pero siempre. #chistes",irony,mysogeny
tweet20378,"Un premio Nobel de economía para esas chavas que salen de fiesta con Q100 y regresan a su casa en Taxi y bien bolas . Ah, y con los Q100",exaggeration,ideological
tweet20481,MONOLOGO: Conversación entre un hombre y su esposa... #fb,reference,ideological
tweet20496,"-Mamá, ¿por qué los penes son feos? -Ay hija, si feo lo chupas... Bonito te lo comes.",misunderstanding,object
tweet20525,"a TU HERMANA le dicen , Mosquito de manicomio.
porque chupa a lo LOCO.   #CHISTES",wordplay,mysogeny
tweet20558,"Una mujer era tan fea, pero tan fea, que llegó virgen al divorcio...",embarrassment,stereotype
tweet20563,"Nivel de enojo de una mujer:
(: = Enojada.
(: = Enojadisima.
(: = Demasiado enojada.
(: = Extremadamente enojada.
Ok = RUN FORREST RUN.",stereotype,stereotype
tweet20576,"Por qué hay más chiste machistas que feministas? ...Porque es en lo único que nos preocupamos, en ellas.",absurd,mysogeny
tweet20645,"Entender lo que un hombre quiere: 1+1= 

Entender lo que una mujer quiere: ∑∞x=7(−1)+5/8((6^3)n5√4)=",stereotype,stereotype
tweet20734,"-Hija, tu marido borracho se equivocó de habitación y me hizo el amor -Y no le dijiste nada? -Ya sabes q no me hablo con él! #fb",unmasking,mysogeny
tweet20859,"#MACHISTA: Hay 3 tipos de Mujeres: Las lindas, Las inteligentes, y La mayoria... #fb",insults,mysogeny
tweet20882,"—Mi amor, ¿Qué opinas de las madres solteras? —Que son unas luchadoras. —Pues bienvenida a la lucha, me vine adentro.",unmasking,violence
tweet20899,A mi Xbox no le tengo que decir "te quiero" después de terminar de jugar con él. #PuntoParaMiXbox.,absurd,object
tweet20901,"5 tips para darse cuenta que zapatos les gustan a las mujeres... 

1) TODOS
2) LOS
3) DE
4) LA
5) ESTANTERÍA",exaggeration,stereotype
tweet20934,"—Nena ..como te llamas? —ESTUPIDO! Q no vez mi nombre en mi perfil?-.- —Hay pues no creo q te llames:PriinceshiTa Emoxa MuxOoFlow, verdad?",absurd,ideological
tweet20964,"1 mes: “Te ves bien bonita enojada.”

2 años: “Ya te vas a enojar, te enojas por todo.”",exaggeration,stereotype
tweet20972,"- Madame, ¿gusta otra copa?
- No, gracias, me hace daño para las piernas.
- ¿Se le adormecen?
- No, ¡se me abren! #XD",unmasking,mysogeny
tweet21005,"-¿Cuántos animales se han sacrificado para que tu mujer luzca ese abrigo de pieles? -¡Uno solo, yo!",stereotype,stereotype
tweet21011,"Una mujer en posición de perrito, es la mejor amiga de un hombre.",parody,object
tweet21048,habia una mujer tan fea que cuando la mamá le apagaba la luz.. El coco la volvía a prender #chistes RT,parody,stereotype
tweet21119,"Me dieron ganas de llorar sin ninguna razón aparente.

¿Así se siente ser mujer?",insults,mysogeny
tweet21309,"—¡ESA VIEJA TRAE EL MISMO VESTIDO QUE YO!
—Amor, es tu reflejo...
—¡CHINGADA MADRE! ¡NUNCA TE PONES DE MI PARTE, TE ODIO!",stereotype,stereotype
tweet21311,"- Las princesas no dicen groserias.  - Tu me ves con corona y castillo, mamaguevo cabron?",insults,mysogeny
tweet21449,"_ Mirá mamá, tengo una bombacha de Japón!
 - Te vino boluda",misunderstanding,mysogeny
tweet21461,"—¿Qué tienes princesa?
—NADA PENDEJO, QUIERO ESTAR SOLA, VETE A LA VERGA.
—Ok.

*En facebook*
“Un novio que se preocupe por ti, eso. �”",irony,ideological
tweet21514,"¡Yo no sé para qué ves el juego si siempre pierden!

—Una novia reclamando atención.",reference,ideological
tweet21560,"Formas de invocar al diablo: —Rito satánico. —Jugar la Ouija. —Decirle a una mujer: ""ay ya relájate, es solo un cólico, no exageres"".",stereotype,stereotype
tweet21631,"—¡Rubia, tienes una neurona! —¡Quítamela, quítamela, quítamela!",stereotype,stereotype
tweet21647,"#MACHISTA: La paloma es el bicho de la paz, y la mujer es la paz del bicho. #fb",wordplay,stereotype
tweet21742,"""Oye, qué rico hueles""

—La emperatriz del país de la putería y galaxia de la ofrecidéz.",insults,mysogeny
tweet21848,— ¿Traes condón? — ¡No! — ¿Y por qué no lo trajiste? — Pues no pensé que fueras tan perra.,insults,mysogeny
tweet21877,¿Alguien me puede decir donde queda el hospital con las enfermeras que salen en las películas porno?,absurd,object
tweet21935,"#Chiste Mamá, por ke no tengo pene? 
-Cuando seas grande, si eres buena, tendrás uno 
-Y si soy mala? 
-Entonces tendrás muchos #Chistes RT",unmasking,ideological
tweet21975,"Hola, soy tu regla. ¿Vas de fiesta? Te acompaño",reference,stereotype
tweet22023,"""Voy a quitar la foto que tengo con él en WhatsApp, para que note que estoy enojada"".

—Todas las mujeres.",stereotype,stereotype
tweet22073,"-¿Quiere a esta mujer como legítima esposa?
-Sí, quiero.
-Por favor, responda sin hacer el signo de las comillas.",irony,object
tweet22117,"Cuando la mujer quita la foto se perfil de Whatsapp significa que está emputadísima, no les escriban amigos. 

Información que salva vidas.",stereotype,stereotype
tweet22272,"2 reglas para complacer a una mujer: - Cuando te equivocas, te tienes que disculpar. - Cuando ella se equivoca, te tienes que disculpar.",stereotype,stereotype
tweet22302,Más vale estar soltera y parrandera que casada y barrendera.,reference,ideological
tweet22317,"-Mi prima se acostó con todo el edificio , menos con el portero.
-¿Es feo?
-No, es automático @rrouvier",embarrassment,stereotype
tweet22349,"— ¿Qué mide 18 cms. y hace gritar de placer a las mujeres? — Un billete de 500,00 €",analogy,mysogeny
tweet22382,"Amor es decirle a tu novia que se estacionó bien, aunque tengas que dar dos pasos grandes para llegar a la banqueta.",analogy,ideological
tweet22542,¿Cómo se llama a una rubia teñida de moreno? Inteligencia artificial.,stereotype,stereotype
tweet22564,"- Oye, una pregunta. ¿Tú usarias zapatos si no tuvieras pies? - M no. + Entonces, ¿porqué utilizas sujetador?",unmasking,mysogeny
tweet22576,"-Oye, estás muy guapa. 
-Dime algo que no sepa.
-Estacionarte.",embarrassment,stereotype
tweet22610,"Tantos lugares lindos, paisajes, sitios interesantes en donde tomarse fotos, pero no , ella prefiere en el baño #XD",reference,mysogeny
tweet22692,"-Madurar es entender que en el amor importa más el interior.
-Te cogiste a la gordita, ¿verdad? 
-Juro que no vuelvo a tomar.",insults,stereotype
tweet22712,Por qué las rubias abren la leche en el supermercado? porque en la caja dice "abrir aquí",stereotype,stereotype
tweet22751,"- que se siente ser linda?
- muy bien
- y como sabes vos?
- me contaron ):",embarrassment,stereotype
tweet22788,"""Un novio que nos abrace como Mayweather"".
- Todas las mujeres.",analogy,stereotype
tweet22806,"Llega el marido borracho a casa y la mujer empieza a gritar, gordo, peludo, asqueroso, y el marido le dice, si es una adivinanza es tu cul0",insults,mysogeny
tweet22814,"No creo que sea una coincidencia, casi todos los desastres naturales tienen nombre de mujer.",stereotype,stereotype
tweet22916,"—¡Señora, que vagina tan grande, grande, grande, ! —¡Ay! ¿Y lo tiene que repetir tanto, Doctor? —No, yo lo dije 1vez, fue el eco.",exaggeration,stereotype
tweet22917,"Mujeres, por favor sean claras en lo que quieren de nosotros, porque luego resulta que el pendejo es uno por no saber leerles la mente.",stereotype,stereotype
